Dist_Name,State_Name,DFSI,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,fatality_rate,injury_rate,risk_score,risk_tier
Ullal_Beach_8,KARNATAKA,39.31,161,24,526261,14.6,42.82,4.81,38.01,30.593185,4.560475,100.0,Very High
Kulshekar_Ridge_8,KARNATAKA,9.32,0,4,678353,1.5,2.13,0.12,2.01,0.0,0.589663,5.13,Low
Patna_Central_8,BIHAR,26.0,11,32,1917077,11.2,14.58,1.27,13.31,0.57379,1.669208,35.14,Medium
Begusarai_East_8,BIHAR,21.56,9,28,5753903,8.6,10.92,2.28,8.64,0.156416,0.486626,23.94,Low
Arwal_Basin_8,BIHAR,20.49,29,37,2063299,8.3,9.59,1.43,8.16,1.405516,1.793245,26.21,Medium
Vaishali_Valley_8,BIHAR,21.04,34,20,1291267,7.8,14.08,2.47,11.61,2.633073,1.548866,31.61,Medium
Samastipur_Plain_8,BIHAR,23.32,7,18,5737196,11.2,7.11,1.87,5.24,0.122011,0.313742,23.56,Low
Mangaluru_Coastal_9,KARNATAKA,39.77,326,34,620466,17.5,34.56,4.31,30.25,52.541155,5.479752,96.93,Very High
Jeppu_Lowlands_9,KARNATAKA,34.82,388,69,457009,17.4,22.45,3.88,18.57,84.89986,15.098171,88.38,Very High
Kadri_Hills_9,KARNATAKA,10.28,0,5,664785,2.6,1.63,0.49,1.14,0.0,0.752123,5.87,Low
Bunder_Port_9,KARNATAKA,42.81,113,133,309114,18.4,40.63,4.61,36.02,36.556093,43.026197,100.0,Very High
Bejai_Urban_9,KARNATAKA,25.17,32,5,500404,10.3,16.24,0.61,15.63,6.394833,0.999193,46.52,High
Ullal_Beach_9,KARNATAKA,45.59,216,87,275365,23.1,33.8,4.78,29.02,78.441341,31.594429,100.0,Very High
Kulshekar_Ridge_9,KARNATAKA,8.49,4,3,184528,1.4,2.04,0.16,1.88,2.167693,1.62577,9.56,Low
Patna_Central_9,BIHAR,16.04,32,8,1046237,3.4,14.84,2.26,12.58,3.05858,0.764645,26.31,Medium
Begusarai_East_9,BIHAR,23.5,13,1,3508038,10.0,11.76,1.84,9.92,0.370578,0.028506,27.59,Medium
Arwal_Basin_9,BIHAR,21.35,18,23,5334357,10.1,6.15,2.44,3.71,0.337435,0.431167,20.55,Low
Vaishali_Valley_9,BIHAR,24.52,40,38,5787118,10.2,13.31,2.07,11.24,0.69119,0.656631,30.56,Medium
Samastipur_Plain_9,BIHAR,20.38,31,15,827359,8.3,9.56,0.53,9.03,3.746862,1.812998,31.48,Medium
Mangaluru_Coastal_10,KARNATAKA,39.66,349,34,495102,18.1,32.78,4.32,28.46,70.490525,6.867272,96.8,Very High
Jeppu_Lowlands_10,KARNATAKA,48.18,152,149,110390,24.3,36.84,3.81,33.03,137.693632,134.975994,100.0,Very High
Kadri_Hills_10,KARNATAKA,12.8,4,1,550736,3.9,3.94,0.17,3.77,0.726301,0.181575,11.83,Low
Bunder_Port_10,KARNATAKA,38.25,125,84,634124,16.1,33.65,3.02,30.63,19.712233,13.246621,100.0,Very High
Bejai_Urban_10,KARNATAKA,20.32,26,3,1166997,9.3,7.34,1.9,5.44,2.227941,0.25707,24.69,Low
Ullal_Beach_10,KARNATAKA,34.88,136,55,254879,13.1,36.02,3.68,32.34,53.358653,21.578867,98.46,Very High
Kulshekar_Ridge_10,KARNATAKA,9.62,4,5,457170,1.7,3.09,0.42,2.67,0.874948,1.093685,8.2,Low
Patna_Central_10,BIHAR,17.85,15,26,5741476,6.3,7.68,1.42,6.26,0.261257,0.452845,17.79,Low
Begusarai_East_10,BIHAR,18.45,23,30,4544588,7.3,6.2,1.14,5.06,0.506096,0.660126,18.46,Low
Arwal_Basin_10,BIHAR,15.53,2,8,3625354,5.5,5.79,2.34,3.45,0.055167,0.220668,12.67,Low
Vaishali_Valley_10,BIHAR,22.89,23,14,1414032,7.8,17.82,1.69,16.13,1.626554,0.990077,34.78,Medium
Samastipur_Plain_10,BIHAR,23.08,27,14,5083897,9.5,11.91,2.02,9.89,0.531089,0.275379,27.29,Medium
Mangaluru_Coastal_11,KARNATAKA,51.04,252,111,186106,26.1,37.26,3.13,34.13,135.406704,59.643429,100.0,Very High
Jeppu_Lowlands_11,KARNATAKA,41.87,385,19,602926,16.4,41.41,2.58,38.83,63.855266,3.151299,100.0,Very High
Kadri_Hills_11,KARNATAKA,8.65,0,0,610559,0.6,3.33,0.17,3.16,0.0,0.0,5.0,Low
Bunder_Port_11,KARNATAKA,34.84,27,29,135462,14.2,32.45,2.72,29.73,19.931789,21.408218,96.98,Very High
Bejai_Urban_11,KARNATAKA,20.62,23,34,967010,8.3,11.23,1.8,9.43,2.378466,3.515993,30.86,Medium
Ullal_Beach_11,KARNATAKA,31.51,115,10,577198,12.3,29.65,4.36,25.29,19.923839,1.732508,80.18,Very High
Kulshekar_Ridge_11,KARNATAKA,10.21,4,8,749913,2.2,2.33,0.32,2.01,0.533395,1.06679,7.53,Low
Patna_Central_11,BIHAR,18.17,49,4,4359744,6.3,7.93,0.52,7.41,1.123919,0.091749,20.44,Low
Begusarai_East_11,BIHAR,16.43,10,3,5688957,4.6,8.71,0.87,7.84,0.175779,0.052734,16.67,Low
Arwal_Basin_11,BIHAR,27.53,7,2,5112338,12.0,14.06,0.54,13.52,0.136924,0.039121,34.5,Medium
Vaishali_Valley_11,BIHAR,22.8,31,38,3594235,11.8,5.07,2.33,2.74,0.862492,1.057249,23.39,Low
Samastipur_Plain_11,BIHAR,21.76,27,5,3396818,7.8,14.34,2.14,12.2,0.794862,0.147197,27.89,Medium
Mangaluru_Coastal_12,KARNATAKA,35.28,34,117,177541,13.6,37.2,4.92,32.28,19.150506,65.900271,99.14,Very High
Jeppu_Lowlands_12,KARNATAKA,37.18,307,130,275659,15.2,34.49,2.79,31.7,111.369482,47.159715,100.0,Very High
Kadri_Hills_12,KARNATAKA,10.43,1,7,322762,2.6,2.9,0.47,2.43,0.309826,2.168781,9.11,Low
Bunder_Port_12,KARNATAKA,34.58,182,134,629833,13.6,32.82,3.87,28.95,28.896549,21.275481,95.14,Very High
Bejai_Urban_12,KARNATAKA,14.18,16,24,3654240,4.1,5.04,0.78,4.26,0.437848,0.656771,12.58,Low
Ullal_Beach_12,KARNATAKA,48.3,332,82,662117,26.7,27.42,3.53,23.89,50.142195,12.384518,100.0,Very High
Kulshekar_Ridge_12,KARNATAKA,10.59,2,0,369588,1.1,7.54,0.38,7.16,0.541143,0.0,11.22,Low
Patna_Central_12,BIHAR,21.11,12,37,4306503,10.0,5.63,1.94,3.69,0.278648,0.859166,20.62,Low
Begusarai_East_12,BIHAR,18.45,20,14,2456109,4.7,15.73,2.1,13.63,0.814296,0.570007,25.33,Medium
Arwal_Basin_12,BIHAR,20.53,41,14,1562636,7.1,13.88,1.68,12.2,2.623772,0.895922,30.73,Medium
Vaishali_Valley_12,BIHAR,22.42,16,33,5782591,9.7,8.92,1.43,7.49,0.276693,0.570678,24.49,Low
Samastipur_Plain_12,BIHAR,16.32,41,39,5383680,3.6,11.91,1.28,10.63,0.761561,0.724412,20.11,Low
Mangaluru_Coastal_13,KARNATAKA,37.9,29,115,605445,16.0,34.95,4.85,30.1,4.789865,18.994293,78.74,Very High
Jeppu_Lowlands_13,KARNATAKA,50.68,52,101,307552,24.2,42.14,3.83,38.31,16.90771,32.839975,100.0,Very High
Kadri_Hills_13,KARNATAKA,8.74,1,4,72154,2.5,0.75,0.38,0.37,1.385925,5.543698,11.12,Low
Bunder_Port_13,KARNATAKA,36.47,317,113,283322,19.7,20.78,4.39,16.39,111.886828,39.883948,89.22,Very High
Bejai_Urban_13,KARNATAKA,20.83,30,4,2800119,7.9,11.53,1.71,9.82,1.071383,0.142851,25.68,Medium
Ullal_Beach_13,KARNATAKA,36.97,306,30,403339,20.8,18.33,4.43,13.9,75.866703,7.437912,83.83,Very High
Kulshekar_Ridge_13,KARNATAKA,13.71,1,9,426858,3.9,6.7,0.32,6.38,0.23427,2.10843,15.61,Low
Patna_Central_13,BIHAR,15.76,41,12,1755564,5.3,6.31,0.78,5.53,2.335432,0.683541,19.34,Low
Begusarai_East_13,BIHAR,26.04,9,28,3292427,11.3,14.06,1.63,12.43,0.273355,0.850436,33.04,Medium
Arwal_Basin_13,BIHAR,14.62,42,22,5852825,3.9,6.01,0.64,5.37,0.717602,0.375887,13.89,Low
Vaishali_Valley_13,BIHAR,23.73,47,36,2776106,11.9,6.47,1.4,5.07,1.693019,1.29678,28.02,Medium
Samastipur_Plain_13,BIHAR,16.81,16,21,4451416,5.0,9.05,1.16,7.89,0.359436,0.47176,17.99,Low
Mangaluru_Coastal_14,KARNATAKA,45.9,131,39,707054,24.5,27.05,2.64,24.41,18.527581,5.515845,100.0,Very High
Jeppu_Lowlands_14,KARNATAKA,43.54,361,21,220760,18.4,42.92,4.66,38.26,163.526001,9.512593,100.0,Very High
Kadri_Hills_14,KARNATAKA,9.43,0,6,702143,1.0,3.89,0.15,3.74,0.0,0.854527,6.67,Low
Bunder_Port_14,KARNATAKA,38.55,168,118,258967,15.0,39.07,3.28,35.79,64.873131,45.565651,100.0,Very High
Bejai_Urban_14,KARNATAKA,20.21,23,28,1795302,8.0,10.97,2.45,8.52,1.281122,1.559626,25.78,Medium
Ullal_Beach_14,KARNATAKA,42.21,155,127,716926,20.7,31.56,4.99,26.57,21.620084,17.71452,100.0,Very High
Kulshekar_Ridge_14,KARNATAKA,11.31,4,7,491282,2.7,4.01,0.21,3.8,0.814196,1.424844,11.22,Low
Patna_Central_14,BIHAR,22.31,29,30,5892401,7.7,14.28,1.09,13.19,0.492159,0.50913,28.67,Medium
Begusarai_East_14,BIHAR,16.64,40,3,4995013,6.0,6.34,2.03,4.31,0.800799,0.06006,15.66,Low
Arwal_Basin_14,BIHAR,22.64,34,23,1627199,7.7,16.67,1.04,15.63,2.08948,1.413472,35.2,Medium
Vaishali_Valley_14,BIHAR,23.4,2,3,2285910,8.9,14.31,0.81,13.5,0.087493,0.131239,29.81,Medium
Samastipur_Plain_14,BIHAR,21.83,48,37,3102967,8.4,11.57,0.89,10.68,1.546907,1.192407,29.15,Medium
Mangaluru_Coastal_15,KARNATAKA,45.34,305,100,374402,23.0,33.03,4.72,28.31,81.46324,26.709259,100.0,Very High
Jeppu_Lowlands_15,KARNATAKA,53.59,179,146,465037,27.3,39.78,4.01,35.77,38.491561,31.395351,100.0,Very High
Kadri_Hills_15,KARNATAKA,6.81,4,2,106358,0.8,0.6,0.45,0.15,3.760883,1.880442,9.65,Low
Bunder_Port_15,KARNATAKA,45.63,399,51,207292,22.7,35.36,4.69,30.67,192.482103,24.602976,100.0,Very High
Bejai_Urban_15,KARNATAKA,20.03,13,20,587955,6.3,15.73,1.17,14.56,2.211054,3.401621,33.62,Medium
Ullal_Beach_15,KARNATAKA,40.65,67,103,578884,16.5,38.89,3.36,35.53,11.573994,17.792857,98.22,Very High
Kulshekar_Ridge_15,KARNATAKA,11.86,0,1,296713,2.1,7.89,0.3,7.59,0.0,0.337026,12.53,Low
Patna_Central_15,BIHAR,24.09,26,39,4730258,9.3,14.64,1.52,13.12,0.549653,0.824479,31.34,Medium
Begusarai_East_15,BIHAR,28.09,30,34,5766632,11.9,15.85,0.78,15.07,0.520234,0.589599,37.34,Medium
Arwal_Basin_15,BIHAR,22.49,43,36,4034550,7.8,15.69,1.87,13.82,1.065794,0.892293,30.92,Medium
Vaishali_Valley_15,BIHAR,21.86,13,23,688456,8.9,12.2,1.05,11.15,1.888283,3.340809,32.8,Medium
Samastipur_Plain_15,BIHAR,23.56,7,27,5267348,11.1,6.78,0.52,6.26,0.132894,0.512592,24.81,Low
Mangaluru_Coastal_16,KARNATAKA,40.81,187,149,44263,18.9,35.09,3.13,31.96,422.474753,336.624269,100.0,Very High
Jeppu_Lowlands_16,KARNATAKA,41.61,144,58,337881,17.6,38.81,3.51,35.3,42.618555,17.165807,100.0,Very High
Kadri_Hills_16,KARNATAKA,9.83,4,7,232192,1.4,5.02,0.09,4.93,1.722712,3.014746,13.53,Low
Bunder_Port_16,KARNATAKA,50.83,69,115,262320,27.1,34.48,4.3,30.18,26.303751,43.839585,100.0,Very High
Bejai_Urban_16,KARNATAKA,18.41,37,20,4631479,4.9,14.52,2.37,12.15,0.798881,0.431828,23.71,Low
Ullal_Beach_16,KARNATAKA,35.55,379,77,678418,18.9,19.39,3.99,15.4,55.865263,11.349935,85.91,Very High
Kulshekar_Ridge_16,KARNATAKA,12.09,0,6,733264,2.6,5.79,0.24,5.55,0.0,0.818259,11.21,Low
Patna_Central_16,BIHAR,23.35,39,34,3690914,11.7,5.03,0.66,4.37,1.056649,0.921181,25.43,Medium
Begusarai_East_16,BIHAR,18.5,11,12,1116036,4.2,16.93,0.68,16.25,0.985631,1.075234,28.43,Medium
Arwal_Basin_16,BIHAR,23.17,18,23,4302429,8.8,14.86,2.42,12.44,0.418368,0.534582,29.31,Medium
Vaishali_Valley_16,BIHAR,27.34,13,15,4237973,11.1,17.75,1.77,15.98,0.30675,0.353943,36.66,Medium
Samastipur_Plain_16,BIHAR,20.13,8,17,3998472,9.4,5.51,2.39,3.12,0.200076,0.425162,18.54,Low
Mangaluru_Coastal_17,KARNATAKA,36.21,349,121,707542,15.6,30.78,3.89,26.89,49.325694,17.101458,95.67,Very High
Jeppu_Lowlands_17,KARNATAKA,55.24,229,86,326214,27.5,42.96,3.24,39.72,70.199317,26.363062,100.0,Very High
Kadri_Hills_17,KARNATAKA,11.38,2,1,327654,2.8,4.42,0.25,4.17,0.6104,0.3052,10.55,Low
Bunder_Port_17,KARNATAKA,40.52,390,8,174055,20.3,28.92,3.6,25.32,224.067105,4.596248,94.51,Very High
Bejai_Urban_17,KARNATAKA,19.37,45,2,2188472,6.8,11.76,1.98,9.78,2.056229,0.091388,25.71,Medium
Ullal_Beach_17,KARNATAKA,42.4,155,22,163618,25.7,18.57,4.68,13.89,94.732853,13.445953,95.22,Very High
Kulshekar_Ridge_17,KARNATAKA,7.37,4,0,481759,0.5,1.03,0.47,0.56,0.830291,0.0,5.0,Low
Patna_Central_17,BIHAR,25.14,48,10,2593373,10.9,13.16,1.46,11.7,1.850871,0.385598,34.03,Medium
Begusarai_East_17,BIHAR,18.76,4,14,2359582,5.1,14.59,1.34,13.25,0.169522,0.593325,24.33,Low
Arwal_Basin_17,BIHAR,16.16,26,1,1049239,5.1,8.85,1.07,7.78,2.477986,0.095307,21.52,Low
Vaishali_Valley_17,BIHAR,18.07,25,4,1285332,6.5,10.56,2.48,8.08,1.945023,0.311204,23.2,Low
Samastipur_Plain_17,BIHAR,20.03,40,24,3688729,8.3,8.37,2.1,6.27,1.084384,0.650631,22.45,Low
Mangaluru_Coastal_18,KARNATAKA,50.66,274,63,539722,23.4,44.71,4.76,39.95,50.766876,11.672676,100.0,Very High
Jeppu_Lowlands_18,KARNATAKA,44.41,380,78,490195,25.0,24.23,4.59,19.64,77.520171,15.912035,100.0,Very High
Kadri_Hills_18,KARNATAKA,8.62,2,7,342186,1.2,2.15,0.13,2.02,0.584477,2.045671,6.91,Low
Bunder_Port_18,KARNATAKA,34.87,23,103,158533,13.9,35.0,4.5,30.5,14.50802,64.9707,93.56,Very High
Bejai_Urban_18,KARNATAKA,19.43,19,17,3795097,7.6,8.38,1.55,6.83,0.500646,0.447946,20.86,Low
Ullal_Beach_18,KARNATAKA,42.22,395,93,414999,21.2,30.51,4.74,25.77,95.180952,22.409693,100.0,Very High
Kulshekar_Ridge_18,KARNATAKA,11.38,2,8,667267,3.6,1.19,0.31,0.88,0.29973,1.19892,7.95,Low
Patna_Central_18,BIHAR,15.95,26,5,2962616,6.0,5.46,2.2,3.26,0.877603,0.16877,14.63,Low
Begusarai_East_18,BIHAR,19.15,9,5,4097706,6.4,10.31,0.67,9.64,0.219635,0.122019,21.66,Low
Arwal_Basin_18,BIHAR,22.6,14,17,4657893,11.1,6.42,2.42,4.0,0.300565,0.364972,22.28,Low
Vaishali_Valley_18,BIHAR,21.54,4,34,4666769,8.3,11.25,1.49,9.76,0.085712,0.728555,24.9,Low
Samastipur_Plain_18,BIHAR,23.41,20,16,3979591,10.9,8.47,1.63,6.84,0.502564,0.402051,25.78,Medium
